text,emotion
"I have to admit, Thinking about the broken promise leaves me irritated.",anger
"At this moment, Right now I am deeply irritated. It has stayed on my mind.",anger
"I have to admit, I feel genuinely cheerful about finishing the project. The feeling is difficult to ignore.",joy
"To be honest, I keep feeling joyful whenever I remember meeting my friends. I can feel it strongly.",joy
"After thinking about it, The way I feel can only be described as cross. That is my honest reaction.",anger
"At this moment, My mood is heartbroken after the disappointing news. I can feel it strongly.",sadness
"At this moment, The way I feel can only be described as in disbelief. The feeling is difficult to ignore.",surprise
"At this moment, I keep feeling thrilled whenever I remember today's good news. I can feel it strongly.",joy
"I have to admit, It is hard to hide how adored I feel about our time together.",love
I am in disbelief because of the last-minute change. That is my honest reaction.,surprise
"Honestly, the person I care about makes me feel affectionate.",love
"To be honest, I am sad because of losing the opportunity. I can feel it strongly.",sadness
"At this moment, Honestly, the unfair decision makes me feel frustrated. It has stayed on my mind.",anger
I feel completely affectionate about my closest friend. I can feel it strongly.,love
"At this moment, Thinking about a thoughtful message leaves me adored. I can feel it strongly.",love
Today I feel romantic; it is connected to our time together. It has stayed on my mind.,love
"To be honest, It is hard to hide how taken aback I feel about the surprise visitor. It has stayed on my mind.",surprise
"To be honest, It is hard to hide how speechless I feel about the unbelievable result. I can feel it strongly.",surprise
I keep feeling pleased whenever I remember today's good news. The feeling is difficult to ignore.,joy
Today I feel irritated; it is connected to the unfair decision. That is my honest reaction.,anger
"At this moment, Honestly, the shocking update makes me feel unexpectedly amazed. The feeling is difficult to ignore.",surprise
"After thinking about it, I am shocked because of the shocking update. I can feel it strongly.",surprise
"At this moment, I am speechless because of the sudden gift. I can feel it strongly.",surprise
"At this moment, I keep feeling tearful whenever I remember the failed plan. I can feel it strongly.",sadness
The way I feel can only be described as mad. The feeling is difficult to ignore.,anger
"I have to admit, My mood is gloomy after the failed plan. I can feel it strongly.",sadness
Right now I am deeply terrified. It has stayed on my mind.,fear
I am tender because of my family. That is my honest reaction.,love
"I have to admit, Right now I am truly frustrated. It has stayed on my mind.",anger
Right now I am very joyful. The feeling is difficult to ignore.,joy
"At this moment, Thinking about finishing the project leaves me cheerful. It has stayed on my mind.",joy
"After thinking about it, I feel so disappointed about the failed plan.",sadness
I feel truly close about the kindness I received. That is my honest reaction.,love
"After thinking about it, Right now I am completely tearful.",sadness
I feel very angry about the unnecessary delay. It has stayed on my mind.,anger
"After thinking about it, The way I feel can only be described as frustrated. It has stayed on my mind.",anger
"Honestly, the risky journey makes me feel panicked. I can feel it strongly.",fear
"To be honest, Today I feel thrilled; it is connected to my great result. The feeling is difficult to ignore.",joy
Today I feel outraged; it is connected to the repeated mistake. The feeling is difficult to ignore.,anger
"At this moment, Honestly, the shocking update makes me feel shocked. The feeling is difficult to ignore.",surprise
I feel truly enraged about the broken promise. It has stayed on my mind.,anger
It is hard to hide how fearful I feel about speaking in public. I can feel it strongly.,fear
"After thinking about it, My mood is affectionate after the kindness I received. It has stayed on my mind.",love
"I have to admit, I keep feeling close whenever I remember my closest friend. That is my honest reaction.",love
"I have to admit, Today I feel sad; it is connected to the failed plan. The feeling is difficult to ignore.",sadness
"After thinking about it, The way I feel can only be described as terrified. The feeling is difficult to ignore.",fear
Today I feel mad; it is connected to being ignored. The feeling is difficult to ignore.,anger
"After thinking about it, I feel incredibly delighted about the new opportunity. The feeling is difficult to ignore.",joy
"After thinking about it, I feel very anxious about the risky journey.",fear
I feel very romantic about a thoughtful message. That is my honest reaction.,love
"To be honest, I am grateful because of my great result. The feeling is difficult to ignore.",joy
"After thinking about it, I am anxious because of the risky journey. I can feel it strongly.",fear
"After thinking about it, Honestly, my closest friend makes me feel fond. That is my honest reaction.",love
"At this moment, Honestly, meeting my friends makes me feel thrilled.",joy
"At this moment, Today I feel cheerful; it is connected to finishing the project.",joy
"To be honest, Right now I am deeply surprised.",surprise
"After thinking about it, Today I feel delighted; it is connected to the new opportunity.",joy
"At this moment, It is hard to hide how worried I feel about speaking in public.",fear
"At this moment, I keep feeling romantic whenever I remember our time together.",love
"At this moment, I feel completely sad about the difficult goodbye. That is my honest reaction.",sadness
"After thinking about it, Thinking about finishing the project leaves me wonderful. It has stayed on my mind.",joy
"To be honest, Thinking about the wonderful celebration leaves me cheerful. That is my honest reaction.",joy
"At this moment, I feel deeply surprised about the surprise visitor. The feeling is difficult to ignore.",surprise
"To be honest, The way I feel can only be described as heartbroken. The feeling is difficult to ignore.",sadness
"To be honest, Right now I am really furious. It has stayed on my mind.",anger
"To be honest, Today I feel frightened; it is connected to the uncertain situation. It has stayed on my mind.",fear
"I have to admit, Thinking about the person I care about leaves me romantic.",love
"After thinking about it, The way I feel can only be described as unhappy.",sadness
"I have to admit, I am happy because of meeting my friends. I can feel it strongly.",joy
"At this moment, The way I feel can only be described as scared. It has stayed on my mind.",fear
"After thinking about it, My mood is unexpectedly amazed after the unbelievable result. That is my honest reaction.",surprise
"At this moment, The way I feel can only be described as terrified. I can feel it strongly.",fear
"I have to admit, Right now I am quite anxious. That is my honest reaction.",fear
Right now I am completely frustrated. It has stayed on my mind.,anger
"After thinking about it, Thinking about losing the opportunity leaves me miserable. I can feel it strongly.",sadness
"After thinking about it, It is hard to hide how amazed I feel about the surprise visitor. It has stayed on my mind.",surprise
I am frightened because of the risky journey. That is my honest reaction.,fear
"Honestly, the rude response makes me feel frustrated. It has stayed on my mind.",anger
"To be honest, My mood is fond after my family. It has stayed on my mind.",love
"After thinking about it, I feel extremely scared about speaking in public. The feeling is difficult to ignore.",fear
"After thinking about it, Right now I am quite speechless. It has stayed on my mind.",surprise
"After thinking about it, Thinking about the failed plan leaves me unhappy. That is my honest reaction.",sadness
"After thinking about it, The way I feel can only be described as thrilled. I can feel it strongly.",joy
I am panicked because of the upcoming examination. The feeling is difficult to ignore.,fear
"To be honest, It is hard to hide how excited I feel about finishing the project. I can feel it strongly.",joy
I feel so sad about the difficult goodbye. I can feel it strongly.,sadness
"At this moment, I feel incredibly delighted about my great result. That is my honest reaction.",joy
"Honestly, today's good news makes me feel grateful. That is my honest reaction.",joy
I keep feeling scared whenever I remember the sudden noise.,fear
"I have to admit, Today I feel delighted; it is connected to meeting my friends. I can feel it strongly.",joy
"At this moment, I keep feeling frustrated whenever I remember the broken promise. That is my honest reaction.",anger
"At this moment, My mood is close after our time together. That is my honest reaction.",love
"I have to admit, I feel very joyful about my great result. I can feel it strongly.",joy
"I have to admit, Today I feel fearful; it is connected to speaking in public. That is my honest reaction.",fear
"After thinking about it, Thinking about the sudden gift leaves me shocked. The feeling is difficult to ignore.",surprise
"To be honest, I feel quite irritated about the repeated mistake. The feeling is difficult to ignore.",anger
"After thinking about it, It is hard to hide how afraid I feel about the uncertain situation.",fear
"After thinking about it, I am enraged because of being ignored. That is my honest reaction.",anger
"To be honest, Thinking about the unexpected announcement leaves me astonished. I can feel it strongly.",surprise
"After thinking about it, I feel extremely panicked about what might happen tomorrow. I can feel it strongly.",fear
"To be honest, The way I feel can only be described as speechless. I can feel it strongly.",surprise
"After thinking about it, Honestly, my family makes me feel romantic. It has stayed on my mind.",love
Right now I am genuinely heartbroken. The feeling is difficult to ignore.,sadness
"At this moment, The way I feel can only be described as worried. I can feel it strongly.",fear
"To be honest, I keep feeling outraged whenever I remember the broken promise. The feeling is difficult to ignore.",anger
"At this moment, Thinking about the surprise visitor leaves me in disbelief. It has stayed on my mind.",surprise
"At this moment, I am unhappy because of losing the opportunity. That is my honest reaction.",sadness
"Honestly, the failed plan makes me feel lonely. That is my honest reaction.",sadness
"I have to admit, The way I feel can only be described as terrified. I can feel it strongly.",fear
"At this moment, It is hard to hide how fearful I feel about what might happen tomorrow. That is my honest reaction.",fear
"After thinking about it, My mood is furious after the rude response. It has stayed on my mind.",anger
"To be honest, Honestly, the unfair decision makes me feel cross.",anger
"After thinking about it, Today I feel warm; it is connected to the person I care about. I can feel it strongly.",love
"To be honest, I feel completely frightened about speaking in public. It has stayed on my mind.",fear
"I have to admit, The way I feel can only be described as unhappy. I can feel it strongly.",sadness
"At this moment, Thinking about today's good news leaves me thrilled.",joy
"To be honest, Thinking about the uncertain situation leaves me nervous.",fear
"After thinking about it, It is hard to hide how speechless I feel about the sudden gift. The feeling is difficult to ignore.",surprise
Thinking about the rude response leaves me cross. It has stayed on my mind.,anger
"To be honest, Right now I am deeply wonderful. It has stayed on my mind.",joy
The way I feel can only be described as fearful. That is my honest reaction.,fear
"At this moment, Thinking about the last-minute change leaves me surprised.",surprise
"I have to admit, I feel truly angry about the unnecessary delay.",anger
"I have to admit, Thinking about a lonely evening leaves me lonely.",sadness
"At this moment, Thinking about the disappointing news leaves me unhappy. That is my honest reaction.",sadness
It is hard to hide how tearful I feel about missing my friends. I can feel it strongly.,sadness
"I have to admit, Thinking about speaking in public leaves me scared. That is my honest reaction.",fear
"After thinking about it, It is hard to hide how frightened I feel about the risky journey. That is my honest reaction.",fear
"After thinking about it, The way I feel can only be described as disappointed.",sadness
"After thinking about it, I feel very amazed about the shocking update. The feeling is difficult to ignore.",surprise
Right now I am deeply worried. I can feel it strongly.,fear
"I have to admit, I am taken aback because of the shocking update.",surprise
"I have to admit, I feel very disappointed about the failed plan. The feeling is difficult to ignore.",sadness
"I have to admit, It is hard to hide how in disbelief I feel about the surprise visitor. I can feel it strongly.",surprise
I keep feeling terrified whenever I remember speaking in public. It has stayed on my mind.,fear
I feel completely sorrowful about the failed plan. The feeling is difficult to ignore.,sadness
"To be honest, I keep feeling down whenever I remember losing the opportunity. It has stayed on my mind.",sadness
"After thinking about it, My mood is loving after the person I care about. That is my honest reaction.",love
"At this moment, I am terrified because of speaking in public. The feeling is difficult to ignore.",fear
"After thinking about it, Thinking about the uncertain situation leaves me scared. That is my honest reaction.",fear
"I have to admit, I am furious because of the repeated mistake. It has stayed on my mind.",anger
"At this moment, My mood is frightened after the uncertain situation.",fear
"At this moment, I keep feeling happy whenever I remember today's good news. That is my honest reaction.",joy
I am stunned because of the shocking update.,surprise
"After thinking about it, It is hard to hide how panicked I feel about the uncertain situation. It has stayed on my mind.",fear
"After thinking about it, My mood is affectionate after the kindness I received. That is my honest reaction.",love
"To be honest, Right now I am genuinely panicked. That is my honest reaction.",fear
"At this moment, Thinking about the person I care about leaves me warm. The feeling is difficult to ignore.",love
"To be honest, Thinking about the disappointing news leaves me lonely. The feeling is difficult to ignore.",sadness
"After thinking about it, I feel so surprised about the last-minute change. The feeling is difficult to ignore.",surprise
The way I feel can only be described as uneasy.,fear
"At this moment, Today I feel uneasy; it is connected to the risky journey. It has stayed on my mind.",fear
"After thinking about it, Honestly, speaking in public makes me feel terrified. That is my honest reaction.",fear
"To be honest, I feel genuinely resentful about the rude response.",anger
"At this moment, I am pleased because of the new opportunity. The feeling is difficult to ignore.",joy
"At this moment, Honestly, the kindness I received makes me feel devoted. I can feel it strongly.",love
"To be honest, I am tender because of the kindness I received. The feeling is difficult to ignore.",love
"At this moment, I feel extremely frustrated about the unnecessary delay.",anger
It is hard to hide how sad I feel about missing my friends. The feeling is difficult to ignore.,sadness
"After thinking about it, I keep feeling adored whenever I remember the kindness I received.",love
My mood is nervous after the upcoming examination. That is my honest reaction.,fear
"At this moment, Thinking about the unnecessary delay leaves me outraged. It has stayed on my mind.",anger
"I have to admit, I keep feeling fearful whenever I remember the upcoming examination. The feeling is difficult to ignore.",fear
"At this moment, I keep feeling taken aback whenever I remember the surprise visitor.",surprise
"At this moment, Right now I am very cross. It has stayed on my mind.",anger
"Honestly, the unfair decision makes me feel outraged. I can feel it strongly.",anger
"To be honest, It is hard to hide how nervous I feel about speaking in public. It has stayed on my mind.",fear
"After thinking about it, My mood is affectionate after the kindness I received. The feeling is difficult to ignore.",love
"I have to admit, I feel really optimistic about finishing the project. It has stayed on my mind.",joy
Today I feel fearful; it is connected to the sudden noise. That is my honest reaction.,fear
"After thinking about it, Thinking about my great result leaves me pleased.",joy
"To be honest, I keep feeling gloomy whenever I remember a lonely evening.",sadness
"At this moment, I feel really unexpectedly amazed about the shocking update.",surprise
Thinking about the wonderful celebration leaves me happy.,joy
"To be honest, My mood is frustrated after the unfair decision. It has stayed on my mind.",anger
"At this moment, I am afraid because of the uncertain situation.",fear
The way I feel can only be described as anxious.,fear
"To be honest, Today I feel optimistic; it is connected to the new opportunity.",joy
"I have to admit, I feel completely stunned about the shocking update. I can feel it strongly.",surprise
I feel deeply outraged about the rude response. I can feel it strongly.,anger
I feel very disappointed about missing my friends. That is my honest reaction.,sadness
"After thinking about it, Thinking about my great result leaves me delighted.",joy
"I have to admit, Right now I am so surprised. That is my honest reaction.",surprise
"I have to admit, I feel completely afraid about the upcoming examination.",fear
I feel so amazed about the unbelievable result. The feeling is difficult to ignore.,surprise
"After thinking about it, I feel extremely speechless about the unbelievable result. The feeling is difficult to ignore.",surprise
"I have to admit, My mood is amazed after the shocking update. It has stayed on my mind.",surprise
"At this moment, My mood is startled after the last-minute change.",surprise
"I have to admit, Thinking about the unbelievable result leaves me speechless.",surprise
"I have to admit, I feel very gloomy about the disappointing news. It has stayed on my mind.",sadness
"At this moment, My mood is sorrowful after the difficult goodbye.",sadness
I feel deeply unhappy about losing the opportunity. That is my honest reaction.,sadness
"To be honest, My mood is delighted after finishing the project. The feeling is difficult to ignore.",joy
"After thinking about it, I feel really miserable about the failed plan. It has stayed on my mind.",sadness
"To be honest, Honestly, speaking in public makes me feel worried. It has stayed on my mind.",fear
"I have to admit, It is hard to hide how lonely I feel about missing my friends. I can feel it strongly.",sadness
"I have to admit, My mood is stunned after the unexpected announcement.",surprise
"After thinking about it, It is hard to hide how nervous I feel about the risky journey. It has stayed on my mind.",fear
"To be honest, I feel completely cheerful about today's good news. It has stayed on my mind.",joy
"At this moment, I keep feeling amazed whenever I remember the unbelievable result. I can feel it strongly.",surprise
"To be honest, Honestly, my family makes me feel warm.",love
"To be honest, Right now I am truly furious. I can feel it strongly.",anger
"After thinking about it, I feel incredibly frightened about the risky journey. The feeling is difficult to ignore.",fear
"After thinking about it, I am frightened because of the upcoming examination.",fear
"After thinking about it, Thinking about finishing the project leaves me grateful. It has stayed on my mind.",joy
"I have to admit, Thinking about the unbelievable result leaves me speechless. It has stayed on my mind.",surprise
"At this moment, Honestly, the difficult goodbye makes me feel sad. The feeling is difficult to ignore.",sadness
I keep feeling wonderful whenever I remember my great result. I can feel it strongly.,joy
"To be honest, Right now I am so unhappy. I can feel it strongly.",sadness
"I have to admit, It is hard to hide how shocked I feel about the surprise visitor. It has stayed on my mind.",surprise
"To be honest, I keep feeling afraid whenever I remember the sudden noise. That is my honest reaction.",fear
"Honestly, the broken promise makes me feel cross.",anger
"To be honest, Honestly, the unbelievable result makes me feel amazed. It has stayed on my mind.",surprise
"To be honest, Thinking about our time together leaves me devoted.",love
I keep feeling stunned whenever I remember the unbelievable result. The feeling is difficult to ignore.,surprise
"After thinking about it, Today I feel enraged; it is connected to being ignored. It has stayed on my mind.",anger
"At this moment, I keep feeling amazed whenever I remember the unexpected announcement.",surprise
"After thinking about it, The way I feel can only be described as panicked. That is my honest reaction.",fear
"I have to admit, The way I feel can only be described as down. I can feel it strongly.",sadness
"At this moment, I am grateful because of today's good news. It has stayed on my mind.",joy
"After thinking about it, Honestly, my family makes me feel adored. The feeling is difficult to ignore.",love
It is hard to hide how miserable I feel about losing the opportunity. It has stayed on my mind.,sadness
Right now I am deeply loving. That is my honest reaction.,love
"After thinking about it, I keep feeling panicked whenever I remember speaking in public. The feeling is difficult to ignore.",fear
"I have to admit, Thinking about the shocking update leaves me speechless. That is my honest reaction.",surprise
"I have to admit, Right now I am very wonderful. That is my honest reaction.",joy
"To be honest, My mood is annoyed after the rude response. The feeling is difficult to ignore.",anger
Right now I am so panicked. I can feel it strongly.,fear
"After thinking about it, My mood is close after my family. The feeling is difficult to ignore.",love
"I have to admit, I am devoted because of my family. It has stayed on my mind.",love
"At this moment, I keep feeling annoyed whenever I remember the broken promise. That is my honest reaction.",anger
"To be honest, Honestly, the unbelievable result makes me feel stunned. It has stayed on my mind.",surprise
Thinking about my closest friend leaves me caring. The feeling is difficult to ignore.,love
"I have to admit, I keep feeling devoted whenever I remember a thoughtful message. The feeling is difficult to ignore.",love
"To be honest, I feel quite resentful about being ignored. That is my honest reaction.",anger
"I have to admit, The way I feel can only be described as mad. That is my honest reaction.",anger
"At this moment, Honestly, the kindness I received makes me feel tender. The feeling is difficult to ignore.",love
"To be honest, Today I feel astonished; it is connected to the sudden gift. It has stayed on my mind.",surprise
"After thinking about it, I am affectionate because of my closest friend. It has stayed on my mind.",love
Right now I am extremely lonely. I can feel it strongly.,sadness
"After thinking about it, Thinking about our time together leaves me adored. That is my honest reaction.",love
"To be honest, It is hard to hide how sad I feel about missing my friends. The feeling is difficult to ignore.",sadness
Right now I am very startled. The feeling is difficult to ignore.,surprise
I keep feeling worried whenever I remember what might happen tomorrow. It has stayed on my mind.,fear
"After thinking about it, My mood is frustrated after the repeated mistake.",anger
"I have to admit, It is hard to hide how fearful I feel about the risky journey. The feeling is difficult to ignore.",fear
"To be honest, It is hard to hide how cheerful I feel about the new opportunity.",joy
"I have to admit, The way I feel can only be described as adored. The feeling is difficult to ignore.",love
"At this moment, It is hard to hide how anxious I feel about speaking in public.",fear
"I have to admit, Today I feel optimistic; it is connected to the wonderful celebration. That is my honest reaction.",joy
"I have to admit, My mood is astonished after the surprise visitor. That is my honest reaction.",surprise
I am joyful because of the wonderful celebration. It has stayed on my mind.,joy
"To be honest, I keep feeling stunned whenever I remember the surprise visitor. The feeling is difficult to ignore.",surprise
"To be honest, Thinking about my great result leaves me optimistic. I can feel it strongly.",joy
"I have to admit, Today I feel devoted; it is connected to a thoughtful message. That is my honest reaction.",love
"To be honest, Today I feel irritated; it is connected to the unnecessary delay. It has stayed on my mind.",anger
"To be honest, The way I feel can only be described as in disbelief. It has stayed on my mind.",surprise
"At this moment, Today I feel wonderful; it is connected to meeting my friends. That is my honest reaction.",joy
"At this moment, I feel genuinely optimistic about meeting my friends.",joy
I am enraged because of the rude response. It has stayed on my mind.,anger
"After thinking about it, Honestly, the repeated mistake makes me feel angry. It has stayed on my mind.",anger
Right now I am completely stunned.,surprise
"I have to admit, My mood is amazed after the surprise visitor.",surprise
I am frustrated because of the unfair decision.,anger
"I have to admit, The way I feel can only be described as adored. I can feel it strongly.",love
"I have to admit, Today I feel taken aback; it is connected to the last-minute change. The feeling is difficult to ignore.",surprise
I keep feeling stunned whenever I remember the sudden gift. The feeling is difficult to ignore.,surprise
"At this moment, Thinking about the wonderful celebration leaves me excited. I can feel it strongly.",joy
"Honestly, the rude response makes me feel irritated. It has stayed on my mind.",anger
"To be honest, I feel very adored about the person I care about. The feeling is difficult to ignore.",love
"I have to admit, I feel truly close about a thoughtful message. I can feel it strongly.",love
"After thinking about it, The way I feel can only be described as happy.",joy
"At this moment, I keep feeling excited whenever I remember today's good news. The feeling is difficult to ignore.",joy
"After thinking about it, Honestly, the sudden noise makes me feel uneasy. I can feel it strongly.",fear
I keep feeling anxious whenever I remember the sudden noise. That is my honest reaction.,fear
"To be honest, I keep feeling uneasy whenever I remember the uncertain situation.",fear
The way I feel can only be described as devoted. The feeling is difficult to ignore.,love
"At this moment, The way I feel can only be described as sorrowful. The feeling is difficult to ignore.",sadness
"After thinking about it, Right now I am truly devoted. I can feel it strongly.",love
"I have to admit, Today I feel mad; it is connected to the unnecessary delay. That is my honest reaction.",anger
My mood is close after my family. I can feel it strongly.,love
I feel genuinely unhappy about missing my friends. The feeling is difficult to ignore.,sadness
"To be honest, Honestly, my great result makes me feel happy. The feeling is difficult to ignore.",joy
"To be honest, Right now I am really surprised. It has stayed on my mind.",surprise
"At this moment, It is hard to hide how thrilled I feel about meeting my friends. The feeling is difficult to ignore.",joy
I keep feeling romantic whenever I remember the person I care about.,love
"At this moment, My mood is loving after the kindness I received. That is my honest reaction.",love
"After thinking about it, My mood is warm after the person I care about. The feeling is difficult to ignore.",love
"I have to admit, I feel really afraid about the risky journey. That is my honest reaction.",fear
"To be honest, I feel extremely warm about my family. I can feel it strongly.",love
"I have to admit, I am in disbelief because of the surprise visitor. The feeling is difficult to ignore.",surprise
"I have to admit, It is hard to hide how tearful I feel about the difficult goodbye. I can feel it strongly.",sadness
"At this moment, Thinking about the person I care about leaves me caring. That is my honest reaction.",love
"To be honest, I feel completely startled about the shocking update. I can feel it strongly.",surprise
Thinking about the failed plan leaves me sad. That is my honest reaction.,sadness
"I have to admit, Today I feel frustrated; it is connected to being ignored.",anger
"To be honest, I feel extremely in disbelief about the sudden gift. I can feel it strongly.",surprise
"I have to admit, Thinking about our time together leaves me devoted. It has stayed on my mind.",love
"At this moment, Today I feel pleased; it is connected to the wonderful celebration. The feeling is difficult to ignore.",joy
Today I feel gloomy; it is connected to missing my friends. I can feel it strongly.,sadness
"To be honest, I feel deeply close about the person I care about.",love
"After thinking about it, I feel genuinely adored about the kindness I received. I can feel it strongly.",love
"To be honest, I feel extremely uneasy about speaking in public. The feeling is difficult to ignore.",fear
"After thinking about it, I keep feeling terrified whenever I remember the sudden noise.",fear
I am happy because of my great result. It has stayed on my mind.,joy
"After thinking about it, The way I feel can only be described as excited. The feeling is difficult to ignore.",joy
"At this moment, Honestly, the shocking update makes me feel taken aback. The feeling is difficult to ignore.",surprise
"After thinking about it, I feel completely heartbroken about losing the opportunity. I can feel it strongly.",sadness
"To be honest, It is hard to hide how happy I feel about meeting my friends.",joy
My mood is lonely after losing the opportunity. The feeling is difficult to ignore.,sadness
"To be honest, I am thrilled because of my great result.",joy
"I have to admit, I am pleased because of the new opportunity. That is my honest reaction.",joy
"I have to admit, I am cheerful because of meeting my friends. That is my honest reaction.",joy
"After thinking about it, The way I feel can only be described as excited.",joy
"To be honest, Right now I am incredibly in disbelief.",surprise
Right now I am really joyful. I can feel it strongly.,joy
"I have to admit, Right now I am so romantic. The feeling is difficult to ignore.",love
"At this moment, My mood is stunned after the surprise visitor. The feeling is difficult to ignore.",surprise
I am thrilled because of the new opportunity. That is my honest reaction.,joy
"At this moment, Today I feel unexpectedly amazed; it is connected to the surprise visitor. The feeling is difficult to ignore.",surprise
"To be honest, The way I feel can only be described as gloomy. It has stayed on my mind.",sadness
"After thinking about it, Thinking about the rude response leaves me angry. It has stayed on my mind.",anger
