job_id,category,template_index,split,job_description
J02_07,HR,6,validation,"The ideal HR candidate combines talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement with teamwork, analytical thinking, and responsible execution."
J02_08,HR,7,test,"Hiring for a HR role requiring talent acquisition, recruitment, onboarding, payroll, employee relations, compliance, and engagement; relevant project experience and evidence of deployment or operational use are valued."
J03_01,Java Developer,0,train,"We are seeking a Java Developer professional with practical experience in Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems."
J03_02,Java Developer,1,train,"The role requires hands-on knowledge of Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems and the ability to deliver reliable business outcomes."
J03_03,Java Developer,2,train,"Join our team as a Java Developer. The preferred profile demonstrates Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems plus clear communication and problem solving."
J03_04,Java Developer,3,train,"Successful candidates will apply Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems to production projects, collaborate with stakeholders, and document results."
J03_05,Java Developer,4,train,"Looking for a Java Developer specialist whose background includes Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems, delivery ownership, and continuous improvement."
J03_06,Java Developer,5,train,"This position focuses on Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems. Candidates should explain prior projects, measurable impact, and implementation choices."
J03_07,Java Developer,6,validation,"The ideal Java Developer candidate combines Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems with teamwork, analytical thinking, and responsible execution."
J03_08,Java Developer,7,test,"Hiring for a Java Developer role requiring Java, Spring Boot, microservices, REST API, SQL, cloud, and backend systems; relevant project experience and evidence of deployment or operational use are valued."
J04_01,Python Developer,0,train,"We are seeking a Python Developer professional with practical experience in Python, Django, Flask, pandas, API development, automation, and testing."
J04_02,Python Developer,1,train,"The role requires hands-on knowledge of Python, Django, Flask, pandas, API development, automation, and testing and the ability to deliver reliable business outcomes."
J04_03,Python Developer,2,train,"Join our team as a Python Developer. The preferred profile demonstrates Python, Django, Flask, pandas, API development, automation, and testing plus clear communication and problem solving."
J04_04,Python Developer,3,train,"Successful candidates will apply Python, Django, Flask, pandas, API development, automation, and testing to production projects, collaborate with stakeholders, and document results."
J04_05,Python Developer,4,train,"Looking for a Python Developer specialist whose background includes Python, Django, Flask, pandas, API development, automation, and testing, delivery ownership, and continuous improvement."
J04_06,Python Developer,5,train,"This position focuses on Python, Django, Flask, pandas, API development, automation, and testing. Candidates should explain prior projects, measurable impact, and implementation choices."
J04_07,Python Developer,6,validation,"The ideal Python Developer candidate combines Python, Django, Flask, pandas, API development, automation, and testing with teamwork, analytical thinking, and responsible execution."
J04_08,Python Developer,7,test,"Hiring for a Python Developer role requiring Python, Django, Flask, pandas, API development, automation, and testing; relevant project experience and evidence of deployment or operational use are valued."
J05_01,Sales,0,train,"We are seeking a Sales professional with practical experience in business development, lead generation, CRM, account management, negotiation, and customer relationships."
J05_02,Sales,1,train,"The role requires hands-on knowledge of business development, lead generation, CRM, account management, negotiation, and customer relationships and the ability to deliver reliable business outcomes."
J05_03,Sales,2,train,"Join our team as a Sales. The preferred profile demonstrates business development, lead generation, CRM, account management, negotiation, and customer relationships plus clear communication and problem solving."
J05_04,Sales,3,train,"Successful candidates will apply business development, lead generation, CRM, account management, negotiation, and customer relationships to production projects, collaborate with stakeholders, and document results."
J05_05,Sales,4,train,"Looking for a Sales specialist whose background includes business development, lead generation, CRM, account management, negotiation, and customer relationships, delivery ownership, and continuous improvement."
J05_06,Sales,5,train,"This position focuses on business development, lead generation, CRM, account management, negotiation, and customer relationships. Candidates should explain prior projects, measurable impact, and implementation choices."
J05_07,Sales,6,validation,"The ideal Sales candidate combines business development, lead generation, CRM, account management, negotiation, and customer relationships with teamwork, analytical thinking, and responsible execution."
J05_08,Sales,7,test,"Hiring for a Sales role requiring business development, lead generation, CRM, account management, negotiation, and customer relationships; relevant project experience and evidence of deployment or operational use are valued."
J06_01,DevOps Engineer,0,train,"We are seeking a DevOps Engineer professional with practical experience in Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation."
J06_02,DevOps Engineer,1,train,"The role requires hands-on knowledge of Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation and the ability to deliver reliable business outcomes."
J06_03,DevOps Engineer,2,train,"Join our team as a DevOps Engineer. The preferred profile demonstrates Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation plus clear communication and problem solving."
J06_04,DevOps Engineer,3,train,"Successful candidates will apply Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation to production projects, collaborate with stakeholders, and document results."
J06_05,DevOps Engineer,4,train,"Looking for a DevOps Engineer specialist whose background includes Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation, delivery ownership, and continuous improvement."
J06_06,DevOps Engineer,5,train,"This position focuses on Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation. Candidates should explain prior projects, measurable impact, and implementation choices."
J06_07,DevOps Engineer,6,validation,"The ideal DevOps Engineer candidate combines Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation with teamwork, analytical thinking, and responsible execution."
J06_08,DevOps Engineer,7,test,"Hiring for a DevOps Engineer role requiring Docker, Kubernetes, CI/CD, AWS, Linux, monitoring, and infrastructure automation; relevant project experience and evidence of deployment or operational use are valued."
J07_01,Testing,0,train,"We are seeking a Testing professional with practical experience in quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking."
J07_02,Testing,1,train,"The role requires hands-on knowledge of quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking and the ability to deliver reliable business outcomes."
J07_03,Testing,2,train,"Join our team as a Testing. The preferred profile demonstrates quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking plus clear communication and problem solving."
J07_04,Testing,3,train,"Successful candidates will apply quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking to production projects, collaborate with stakeholders, and document results."
J07_05,Testing,4,train,"Looking for a Testing specialist whose background includes quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking, delivery ownership, and continuous improvement."
J07_06,Testing,5,train,"This position focuses on quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking. Candidates should explain prior projects, measurable impact, and implementation choices."
J07_07,Testing,6,validation,"The ideal Testing candidate combines quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking with teamwork, analytical thinking, and responsible execution."
J07_08,Testing,7,test,"Hiring for a Testing role requiring quality assurance, manual testing, Selenium, test cases, regression testing, Jira, and defect tracking; relevant project experience and evidence of deployment or operational use are valued."
